rank,state_index,bitstring_q20_to_q0,counts,ising_energy
1,1906411,111010001011011101011,2,-407372.40625
2,10854,000000010101001100110,2,3778348.75
3,1474061,101100111111000001101,2,-857793.625
4,118823,000011101000000100111,2,41869.09375
5,992140,011110010001110001100,2,-1169407.625
6,1134211,100010100111010000011,2,248382.25
7,977379,011101110100111100011,2,-828639.875
8,961314,011101010101100100010,2,-1009578.5
9,519522,001111110110101100010,2,-1248095.0
10,1309567,100111111101101111111,1,-1546810.5
