Step number,Repeats,Step name,Elapsed Time  (s),DC Working Electrode (V),DC Current (A),Frequency (Hz),|Z| (Ohms),Phase (deg),Z' (Ohms),-Z" (Ohms),THD (%),Amplitude (A),Amplitude (V),No of Cycles,Duration of Each Frequency (s)
13,1,Potentiostatic EIS,2213.42879359983,-0.000829589203931391,-4.74610124001629e-07,1000000,1.43260134040472,54.893995431986,0.823876123919597,-1.17199604647994,2.09496159268457,0.00426397245896486,0.00610859230525909,1430,0.00143
13,1,Potentiostatic EIS,2213.68328613974,-0.000805286527611315,3.57915378117468e-06,891250.9375,1.32138529659612,52.4442594857291,0.805427889770639,-1.04754236975887,2.18763604683785,0.00505151159891206,0.00667499910334449,1310,0.00146984417618074
13,1,Potentiostatic EIS,2214.07946103998,-0.000775029719807208,-5.20998350111768e-05,794328.1875,1.22066659463535,50.59612295224,0.774858159424224,-0.943197629361083,2.59117930964533,0.00502087199107993,0.00612882047018834,1445,0.00181914732819424
13,1,Potentiostatic EIS,2214.33786663972,-0.000745490402914584,-5.56288490770385e-05,707945.6875,1.13641478043663,47.7649317828415,0.763868329148223,-0.841393920181942,2.65114991085287,0.00533682610476981,0.00606485182661222,1340,0.00189280056882895
13,1,Potentiostatic EIS,2214.59972979967,-0.000715040252543986,-5.44102134881541e-05,630957.25,1.06571803749274,44.7434989543061,0.756942490287453,-0.750195309126101,2.28031040909021,0.00558219734248611,0.00594905712764563,1355,0.00214753059735822
13,1,Potentiostatic EIS,2214.86645750981,-0.000689980224706233,-5.39209664566442e-05,562341.25,1.00563619288925,41.7069677045974,0.750765019333857,-0.669071026269577,2.28470800701762,0.00578574292389334,0.00581837433796118,1360,0.00241846032102393
13,1,Potentiostatic EIS,2215.13915628986,-0.000679661543108523,-5.4894684581086e-05,501187.15625,0.953703376276153,38.619502274853,0.745136145886914,-0.595249740876321,1.98720997597181,0.00596334798453556,0.00568729285265215,1385,0.00276343873287355
13,1,Potentiostatic EIS,2215.41869052965,-0.000676064030267298,-5.48298383364454e-05,446683.53125,0.907951906928099,35.5660079573304,0.73856982491987,-0.528101580202337,1.730064352861,0.0061262450934707,0.00556235769625222,1360,0.00304466116356288
13,1,Potentiostatic EIS,2215.70487162005,-0.000667664618231356,-5.33204525709152e-05,398107.0625,0.873439512234423,32.5428793406725,0.736299990363385,-0.469849875729668,1.4898793349661,0.00627827390509183,0.00548372163373108,1400,0.00351664195859374
13,1,Potentiostatic EIS,2215.99873487977,-0.000657429010607302,-5.20171452080831e-05,354813.3125,0.846668145054798,29.8637983109037,0.734240385690963,-0.421589852665974,1.72782284781901,0.00642153889809913,0.00543691486427854,1365,0.00384709353316612
13,1,Potentiostatic EIS,2216.30308428966,-0.000640586973167956,-5.3701238357462e-05,316227.6875,0.819628441485554,26.9739572508469,0.730463346184288,-0.371771545405633,1.51326117180528,0.00655832276120038,0.0053754070496494,1370,0.00433232147011163
