i,j,J_ij,var_i,var_j
16,17,372623.6105622127,Q_2_b1,Q_2_b2
15,17,186311.80528110635,Q_2_b0,Q_2_b2
17,20,126254.64967086728,Q_2_b2,α_2_b2
15,16,93155.90264055318,Q_2_b0,Q_2_b1
17,19,63127.32483543364,Q_2_b2,α_2_b1
16,20,63127.32483543364,Q_2_b1,α_2_b2
19,20,32226.842337138594,α_2_b1,α_2_b2
17,18,31563.66241771682,Q_2_b2,α_2_b0
16,19,31563.66241771682,Q_2_b1,α_2_b1
15,20,31563.66241771682,Q_2_b0,α_2_b2
8,17,-25871.92067610587,R_ct_b2,Q_2_b2
8,20,-19947.238398562262,R_ct_b2,α_2_b2
18,20,16113.421168569297,α_2_b0,α_2_b2
16,18,15781.83120885841,Q_2_b1,α_2_b0
15,19,15781.83120885841,Q_2_b0,α_2_b1
8,16,-12935.960338052933,R_ct_b2,Q_2_b1
7,17,-12935.960338052933,R_ct_b1,Q_2_b2
7,20,-9973.619199281133,R_ct_b1,α_2_b2
8,19,-9973.619199281133,R_ct_b2,α_2_b1
18,19,8056.710584284649,α_2_b0,α_2_b1
15,18,7890.915604429205,Q_2_b0,α_2_b0
7,16,-6467.980169026467,R_ct_b1,Q_2_b1
6,17,-6467.980169026467,R_ct_b0,Q_2_b2
8,15,-6467.980169026467,R_ct_b2,Q_2_b0
11,17,-5296.976870523063,Q_1_b2,Q_2_b2
6,20,-4986.809599640566,R_ct_b0,α_2_b2
7,19,-4986.809599640566,R_ct_b1,α_2_b1
8,18,-4986.809599640566,R_ct_b2,α_2_b0
7,8,3907.124361202988,R_ct_b1,R_ct_b2
7,15,-3233.990084513233,R_ct_b1,Q_2_b0
6,16,-3233.990084513233,R_ct_b0,Q_2_b1
14,17,-2875.240975257712,α_1_b2,Q_2_b2
10,17,-2648.488435261531,Q_1_b1,Q_2_b2
11,16,-2648.488435261531,Q_1_b2,Q_2_b1
7,18,-2493.404799820283,R_ct_b1,α_2_b0
6,19,-2493.404799820283,R_ct_b0,α_2_b1
6,8,1953.562180601494,R_ct_b0,R_ct_b2
6,15,-1616.9950422566167,R_ct_b0,Q_2_b0
13,17,-1437.620487628856,α_1_b1,Q_2_b2
14,16,-1437.620487628856,α_1_b2,Q_2_b1
9,17,-1324.2442176307657,Q_1_b0,Q_2_b2
11,15,-1324.2442176307657,Q_1_b2,Q_2_b0
10,16,-1324.2442176307657,Q_1_b1,Q_2_b1
6,18,-1246.7023999101414,R_ct_b0,α_2_b0
2,20,-1179.228375921892,R_s_b2,α_2_b2
6,7,976.781090300747,R_ct_b0,R_ct_b1
11,14,806.314174671885,Q_1_b2,α_1_b2
11,20,774.911208292594,Q_1_b2,α_2_b2
8,11,-726.852305598388,R_ct_b2,Q_1_b2
12,17,-718.810243814428,α_1_b0,Q_2_b2
13,16,-718.810243814428,α_1_b1,Q_2_b1
14,15,-718.810243814428,α_1_b2,Q_2_b0
10,11,695.4016836189923,Q_1_b1,Q_1_b2
2,17,-685.4229221595936,R_s_b2,Q_2_b2
9,16,-662.122108815383,Q_1_b0,Q_2_b1
10,15,-662.122108815383,Q_1_b1,Q_2_b0
1,20,-589.614187960946,R_s_b1,α_2_b2
2,19,-589.614187960946,R_s_b2,α_2_b1
2,8,461.6941460389234,R_s_b2,R_ct_b2
14,20,-434.1684544759415,α_1_b2,α_2_b2
10,14,403.1570873359425,Q_1_b1,α_1_b2
11,13,403.1570873359425,Q_1_b2,α_1_b1
11,19,387.455604146297,Q_1_b2,α_2_b1
10,20,387.455604146297,Q_1_b1,α_2_b2
7,11,-363.426152799194,R_ct_b1,Q_1_b2
