Parameter,k (0..7),u_k,θ_k,Units
R_s,0,0.0,0.0872511388,Ω
R_s,1,0.14285714285714285,0.1684555755236372,Ω
R_s,2,0.2857142857142857,0.3252367970812072,Ω
R_s,3,0.42857142857142855,0.6279339454739492,Ω
R_s,4,0.5714285714285714,1.2123506424152524,Ω
R_s,5,0.7142857142857143,2.3406826319212772,Ω
R_s,6,0.8571428571428571,4.519150641486878,Ω
R_s,7,1.0,8.72511388,Ω
L,0,0.0,1.8799253200000013e-08,H
L,1,0.14285714285714285,3.6295675457941185e-08,H
L,2,0.2857142857142857,7.007597817493055e-08,H
L,3,0.42857142857142855,1.352955319116106e-07,H
L,4,0.5714285714285714,2.6121477618979833e-07,H
L,5,0.7142857142857143,5.043267751403899e-07,H
L,6,0.8571428571428571,9.737025593785642e-07,H
L,7,1.0,1.8799253200000014e-06,H
R_ct,0,0.0,1.50028986,Ω
R_ct,1,0.14285714285714285,2.8966062253685694,Ω
R_ct,2,0.2857142857142857,5.59247106078818,Ω
R_ct,3,0.42857142857142855,10.797371175909042,Ω
R_ct,4,0.5714285714285714,20.84646000723705,Ω
R_ct,5,0.7142857142857143,40.24821299122808,Ω
R_ct,6,0.8571428571428571,77.70713341377336,Ω
R_ct,7,1.0,150.02898600000006,Ω
Q_1,0,0.0,0.00026217299800000005,S·s^α
Q_1,1,0.14285714285714285,0.0005061768118131129,S·s^α
Q_1,2,0.2857142857142857,0.000977274420980941,S·s^α
Q_1,3,0.42857142857142855,0.0018868215050835977,S·s^α
Q_1,4,0.5714285714285714,0.003642881994672977,S·s^α
Q_1,5,0.7142857142857143,0.007033303993704805,S·s^α
Q_1,6,0.8571428571428571,0.013579184047191351,S·s^α
Q_1,7,1.0,0.026217299800000007,S·s^α
α_1,0,0.0,0.3,–
α_1,1,0.14285714285714285,0.3985714285714286,–
α_1,2,0.2857142857142857,0.4971428571428571,–
α_1,3,0.42857142857142855,0.5957142857142856,–
α_1,4,0.5714285714285714,0.6942857142857142,–
α_1,5,0.7142857142857143,0.7928571428571428,–
α_1,6,0.8571428571428571,0.8914285714285712,–
α_1,7,1.0,0.99,–
Q_2,0,0.0,0.00021173822699999999,S·s^α
Q_2,1,0.14285714285714285,0.00040880251398666594,S·s^α
Q_2,2,0.2857142857142857,0.0007892740853158196,S·s^α
Q_2,3,0.42857142857142855,0.001523849683985657,S·s^α
Q_2,4,0.5714285714285714,0.002942093124030566,S·s^α
Q_2,5,0.7142857142857143,0.0056802925127288385,S·s^α
Q_2,6,0.8571428571428571,0.010966927853718101,S·s^α
Q_2,7,1.0,0.0211738227,S·s^α
α_2,0,0.0,0.3,–
α_2,1,0.14285714285714285,0.3985714285714286,–
α_2,2,0.2857142857142857,0.4971428571428571,–
α_2,3,0.42857142857142855,0.5957142857142856,–
α_2,4,0.5714285714285714,0.6942857142857142,–
α_2,5,0.7142857142857143,0.7928571428571428,–
α_2,6,0.8571428571428571,0.8914285714285712,–
α_2,7,1.0,0.99,–
