i,j,Q_ij,var_i,var_j
17,17,-3579801.0455572135,Q_2_b2,Q_2_b2
16,16,-2535147.743903032,Q_2_b1,Q_2_b1
16,17,1490494.4422488508,Q_2_b1,Q_2_b2
15,15,-1453885.6772326224,Q_2_b0,Q_2_b0
20,20,-1264922.8780643013,α_2_b2,α_2_b2
15,17,745247.2211244254,Q_2_b0,Q_2_b2
19,19,-696915.1237064279,α_2_b1,α_2_b1
17,20,505018.5986834691,Q_2_b2,α_2_b2
8,8,401249.4811501351,R_ct_b2,R_ct_b2
15,16,372623.6105622127,Q_2_b0,Q_2_b1
18,18,-364570.98302178324,α_2_b0,α_2_b0
17,19,252509.29934173456,Q_2_b2,α_2_b1
16,20,252509.29934173456,Q_2_b1,α_2_b2
7,7,192810.4918526616,R_ct_b1,R_ct_b1
19,20,128907.36934855438,α_2_b1,α_2_b2
17,18,126254.64967086728,Q_2_b2,α_2_b0
16,19,126254.64967086728,Q_2_b1,α_2_b1
15,20,126254.64967086728,Q_2_b0,α_2_b2
8,17,-103487.68270442347,R_ct_b2,Q_2_b2
6,6,94451.6837457293,R_ct_b0,R_ct_b0
8,20,-79788.95359424905,R_ct_b2,α_2_b2
18,20,64453.68467427719,α_2_b0,α_2_b2
15,19,63127.32483543364,Q_2_b0,α_2_b1
16,18,63127.32483543364,Q_2_b1,α_2_b0
7,17,-51743.84135221173,R_ct_b1,Q_2_b2
8,16,-51743.84135221173,R_ct_b2,Q_2_b1
7,20,-39894.476797124524,R_ct_b1,α_2_b2
8,19,-39894.476797124524,R_ct_b2,α_2_b1
18,19,32226.842337138594,α_2_b0,α_2_b1
15,18,31563.66241771682,Q_2_b0,α_2_b0
7,16,-25871.920676105867,R_ct_b1,Q_2_b1
6,17,-25871.920676105867,R_ct_b0,Q_2_b2
8,15,-25871.920676105867,R_ct_b2,Q_2_b0
11,11,22052.430452371318,Q_1_b2,Q_1_b2
11,17,-21187.90748209225,Q_1_b2,Q_2_b2
7,19,-19947.238398562262,R_ct_b1,α_2_b1
6,20,-19947.238398562262,R_ct_b0,α_2_b2
8,18,-19947.238398562262,R_ct_b2,α_2_b0
2,2,18662.822409906992,R_s_b2,R_s_b2
14,14,16120.222787728666,α_1_b2,α_1_b2
7,8,15628.497444811952,R_ct_b1,R_ct_b2
7,15,-12935.960338052933,R_ct_b1,Q_2_b0
6,16,-12935.960338052933,R_ct_b0,Q_2_b1
14,17,-11500.963901030847,α_1_b2,Q_2_b2
11,16,-10593.953741046125,Q_1_b2,Q_2_b1
10,17,-10593.953741046125,Q_1_b1,Q_2_b2
7,18,-9973.619199281131,R_ct_b1,α_2_b0
6,19,-9973.619199281131,R_ct_b0,α_2_b1
10,10,9635.411858947675,Q_1_b1,Q_1_b1
1,1,9152.019634847566,R_s_b1,R_s_b1
6,8,7814.248722405976,R_ct_b0,R_ct_b2
13,13,7476.4989933350535,α_1_b1,α_1_b1
6,15,-6467.980169026467,R_ct_b0,Q_2_b0
14,16,-5750.481950515424,α_1_b2,Q_2_b1
13,17,-5750.481950515424,α_1_b1,Q_2_b2
9,17,-5296.976870523063,Q_1_b0,Q_2_b2
10,16,-5296.976870523063,Q_1_b1,Q_2_b1
11,15,-5296.976870523063,Q_1_b2,Q_2_b0
6,18,-4986.8095996405655,R_ct_b0,α_2_b0
2,20,-4716.913503687568,R_s_b2,α_2_b2
0,0,4531.1619248973,R_s_b0,R_s_b0
9,9,4470.005087664342,Q_1_b0,Q_1_b0
6,7,3907.124361202988,R_ct_b0,R_ct_b1
12,12,3592.3463965352066,α_1_b0,α_1_b0
11,14,3225.25669868754,Q_1_b2,α_1_b2
11,20,3099.644833170376,Q_1_b2,α_2_b2
8,11,-2907.409222393552,R_ct_b2,Q_1_b2
14,15,-2875.240975257712,α_1_b2,Q_2_b0
12,17,-2875.240975257712,α_1_b0,Q_2_b2
13,16,-2875.240975257712,α_1_b1,Q_2_b1
10,11,2781.606734475969,Q_1_b1,Q_1_b2
2,17,-2741.691688638374,R_s_b2,Q_2_b2
9,16,-2648.4884352615313,Q_1_b0,Q_2_b1
10,15,-2648.4884352615313,Q_1_b1,Q_2_b0
2,19,-2358.456751843784,R_s_b2,α_2_b1
1,20,-2358.456751843784,R_s_b1,α_2_b2
2,8,1846.7765841556939,R_s_b2,R_ct_b2
14,20,-1736.673817903766,α_1_b2,α_2_b2
10,14,1612.62834934377,Q_1_b1,α_1_b2
11,13,1612.62834934377,Q_1_b2,α_1_b1
10,20,1549.822416585188,Q_1_b1,α_2_b2
11,19,1549.822416585188,Q_1_b2,α_2_b1
8,10,-1453.704611196776,R_ct_b2,Q_1_b1
7,11,-1453.704611196776,R_ct_b1,Q_1_b2
12,16,-1437.620487628856,α_1_b0,Q_2_b1
13,15,-1437.620487628856,α_1_b1,Q_2_b0
9,11,1390.8033672379845,Q_1_b0,Q_1_b2
2,16,-1370.845844319187,R_s_b2,Q_2_b1
1,17,-1370.845844319187,R_s_b1,Q_2_b2
9,15,-1324.2442176307657,Q_1_b0,Q_2_b0
1,19,-1179.228375921892,R_s_b1,α_2_b1
2,18,-1179.228375921892,R_s_b2,α_2_b0
0,20,-1179.228375921892,R_s_b0,α_2_b2
13,14,1167.224801058559,α_1_b1,α_1_b2
2,11,-970.0018512523703,R_s_b2,Q_1_b2
2,7,923.3882920778469,R_s_b2,R_ct_b1
1,8,923.3882920778469,R_s_b1,R_ct_b2
13,20,-868.336908951883,α_1_b1,α_2_b2
14,19,-868.336908951883,α_1_b2,α_2_b1
11,12,806.314174671885,Q_1_b2,α_1_b0
9,14,806.314174671885,Q_1_b0,α_1_b2
10,13,806.314174671885,Q_1_b1,α_1_b1
10,19,774.911208292594,Q_1_b1,α_2_b1
11,18,774.911208292594,Q_1_b2,α_2_b0
9,20,774.911208292594,Q_1_b0,α_2_b2
8,9,-726.852305598388,R_ct_b2,Q_1_b0
7,10,-726.852305598388,R_ct_b1,Q_1_b1
6,11,-726.852305598388,R_ct_b0,Q_1_b2
12,15,-718.810243814428,α_1_b0,Q_2_b0
9,10,695.4016836189923,Q_1_b0,Q_1_b1
2,15,-685.4229221595936,R_s_b2,Q_2_b0
1,16,-685.4229221595936,R_s_b1,Q_2_b1
0,17,-685.4229221595936,R_s_b0,Q_2_b2
8,14,635.1567156037681,R_ct_b2,α_1_b2
2,14,-614.8926567670605,R_s_b2,α_1_b2
1,18,-589.614187960946,R_s_b1,α_2_b0
0,19,-589.614187960946,R_s_b0,α_2_b1
12,14,583.6124005292795,α_1_b0,α_1_b2
1,11,-485.00092562618516,R_s_b1,Q_1_b2
2,10,-485.00092562618516,R_s_b2,Q_1_b1
0,8,461.69414603892346,R_s_b0,R_ct_b2
1,7,461.69414603892346,R_s_b1,R_ct_b1
2,6,461.69414603892346,R_s_b2,R_ct_b0
12,20,-434.1684544759415,α_1_b0,α_2_b2
14,18,-434.1684544759415,α_1_b2,α_2_b0
13,19,-434.1684544759415,α_1_b1,α_2_b1
10,12,403.1570873359425,Q_1_b1,α_1_b0
