noise_level,noise_percent,rep,success,boundary_hit,SSE_noisy,SSE_clean,R_s,L,R_ct,Q_1,α_1,Q_2,α_2
0.02,2.0,0,False,False,580.6868417348309,378.14333491559546,0.8147136777693216,1.7831709357589938e-07,14.941038966633473,0.002640838968351451,0.7915749294776915,0.002121323437378114,0.9010160390188693
0.02,2.0,1,False,False,455.300295202277,376.9526792226398,0.8732021922261012,1.8792156270478817e-07,15.002795732496537,0.0026229860990022273,0.8027483925751482,0.002126633038907663,0.8996575843241543
0.02,2.0,2,False,False,670.6408890727232,370.8175987438043,0.8782408243891944,1.883669595151259e-07,14.967533692579424,0.0026258040645999402,0.8015953928865232,0.0021164439065051626,0.8998248694840465
0.02,2.0,3,False,False,486.6562509294801,393.74615733418295,0.85424324880121,1.8705751045823506e-07,15.238129765526207,0.0024518994737184256,0.804324802434788,0.0021312641705705923,0.9005788787762801
0.02,2.0,4,False,False,531.668367590456,379.3812310167125,0.8821733343045524,1.879928552800304e-07,15.008234252701033,0.002617151548328097,0.8011215334300728,0.0021138572480335423,0.8984140713088984
0.02,2.0,5,False,False,879.7741261656646,390.93864886662504,0.822852981508438,1.8769924419888869e-07,15.053046817427859,0.002614489042736875,0.8018500026165583,0.002101249473933195,0.9009585556037427
0.02,2.0,6,False,False,590.7274441154468,378.6209596703847,0.8223426544096875,1.77360443150272e-07,14.937586124758663,0.0026197262073462168,0.801300220156391,0.0021216208434553263,0.9012327971131344
0.02,2.0,7,False,False,472.3717083415767,371.6939207806107,0.8248380682621248,1.8781423180800686e-07,15.020653442684413,0.0026394745870020144,0.801558911792067,0.0021182110179888457,0.9005644181387313
0.02,2.0,8,False,False,740.164836249635,372.7686436354329,0.8693142875405199,1.8785961335363159e-07,15.002702327034264,0.0024859503651549365,0.8030448271790582,0.0021188073737515444,0.9000991425345306
0.02,2.0,9,False,False,389.2108832601289,377.3905308985707,0.80965964006051,1.780098225563161e-07,14.991765197603378,0.0026143529512163695,0.8013018367424394,0.0021211125832926257,0.9012496626212292
0.02,2.0,10,False,False,743.8481860035351,376.3039365280992,0.8797134444561545,1.8796398423888187e-07,15.186225023207934,0.002627385835046912,0.8018200202454642,0.002119001157355222,0.8986919859593501
0.02,2.0,11,False,False,443.78755888598187,373.6912172179481,0.8700062317163283,1.8741568323822585e-07,14.889927064189873,0.002617562025997494,0.8027255792208703,0.0021216538935161216,0.9003287935249635
0.02,2.0,12,False,False,459.2364774619749,372.4208445884623,0.8818923914323735,1.8799251844745787e-07,15.1210954199454,0.002624466782922914,0.8030538013212907,0.002120938521283903,0.8993594759880215
0.02,2.0,13,False,False,274.2570499568342,431.25669523004154,0.8300565287101279,1.7415499964062302e-07,14.759771240528389,0.0026910403176104237,0.7938943982346238,0.0021351138900918666,0.9019404998585565
0.02,2.0,14,False,False,491.79758348185766,404.01645958543486,0.8119149326983988,1.7677653156778513e-07,14.479638438569047,0.002615779928194583,0.7938947923724677,0.0021287454224264467,0.9006990393070449
0.02,2.0,15,False,False,657.2487693339966,379.1406781496605,0.8789557425557286,1.8860540375113094e-07,15.137460893540457,0.002638884675751704,0.8025727478167037,0.0021131261512459592,0.8989812448837915
0.02,2.0,16,False,False,540.1727750369267,376.40882748665405,0.8193440777375041,1.8891191191984868e-07,14.932293300553555,0.002635392670710015,0.7923989864430385,0.002114654387058614,0.9016516473923359
0.02,2.0,17,False,False,438.5155229816641,378.7408879790738,0.8262864950682892,1.873634345161213e-07,14.955041961780307,0.0026009989285300517,0.7928526769758641,0.002106959924466277,0.9008696870968476
